"IdAlumno","PeriodoAcad","Genero","PrepaPrivada","PromedioAcum"
"A15340","AD05","M","Privada",81.153
"A15341","AD05","M","Privada",63.21
"A15342","AD05","M","Privada",96.157
"A15345","AD05","M","Privada",93.315
"A15347","AD05","M","Publica",85.935
"A15348","AD05","M","Publica",78.969
"A15350","AD05","M","Privada",87.578
"A15352","AD05","M","Privada",74
"A15353","AD05","F","Publica",90.827
"A15355","AD05","M","Publica",74.339
"A15357","AD05","F","Privada",72.928
"A15358","AD05","M","Privada",76.523
"A15359","AD05","M","Publica",59.404
"A15360","AD05","M","Publica",76.53
"A15362","AD05","M","Publica",78.76
"A15363","AD05","M","Privada",92
"A15364","AD05","F","Privada",88.857
"A15365","AD05","M","Publica",85.974
"A15366","AD05","M","Publica",85.568
"A15367","AD05","M","Privada",90.714
"A15368","AD05","M","Privada",41.666
"A15369","AD05","F","Privada",83.857
"A15371","AD05","M","Privada",92.285
"A15372","AD05","M","Privada",92.5
"A15373","AD05","M","Privada",88.833
"A15374","AD05","M","Privada",94.166
"A15375","AD05","M","Publica",87.968
"A15376","AD05","M","Privada",92.5
"A15377","AD05","M","Privada",73.428
"A15379","AD05","F","Privada",93.714
"A15380","AD05","F","Privada",97.142
"A15381","AD05","F","Privada",93.714
"A15383","AD05","M","Privada",94.5
"A15384","AD05","F","Privada",90.428
"A15385","AD05","M","Publica",87.793
"A15386","AD05","M","Publica",91.65
"A15387","AD05","M","Publica",80.794
"A15389","AD05","F","Privada",94.333
"A15390","AD05","M","Privada",89.428
"A15391","AD05","M","Publica",80.32
"A15393","AD05","F","Publica",77.297
"A15394","AD05","M","Publica",88.228
"A15395","AD05","F","Privada",92
"A15396","AD05","F","Privada",99.857
"A15397","AD05","F","Privada",98.666
"A15398","AD05","F","Publica",84.257
"A15400","AD05","M","Publica",76.928
"A15401","AD05","M","Privada",91.571
"A15403","AD05","M","Publica",76.9
"A15404","AD05","M","Publica",65.945
"A15426","AD05","M","Publica",93.193
"A15428","AD05","F","Publica",77.241
"A15433","AD05","M","Publica",84.035
"A15436","AD05","F","Publica",89.25
"A15437","AD05","M","Publica",73.516
"A15440","AD05","M","Publica",88.466
"A15441","AD05","F","Publica",93.608
"A15443","AD05","M","Publica",78.548
"A15460","AD05","F","Publica",92.947
"A15461","AD05","F","Publica",94
"A15462","AD05","M","Publica",92.421
"A15463","AD05","F","Publica",87.368
"A15465","AD05","M","Publica",86
"A15466","AD05","M","Publica",94.55
"A15469","AD05","M","Publica",66
"A15470","AD05","F","Publica",91.111
"A15471","AD05","M","Publica",81.473
"A15472","AD05","M","Publica",92.277
"A15473","AD05","F","Publica",86.722
"A15474","AD05","F","Publica",64.937
"A15475","AD05","F","Publica",91.7
"A15476","AD05","F","Publica",94.833
"A15477","AD05","M","Publica",91.571
"A15486","AD05","M","Publica",96
"A15487","AD05","F","Publica",95
"A15488","AD05","M","Publica",77.6
"A15489","AD05","M","Publica",95.333
"A15490","AD05","M","Publica",83.833
"A15492","AD05","M","Publica",95
"A15493","AD05","M","Publica",81.666
"A15494","AD05","F","Publica",89.333
"A15516","AD05","M","Publica",79.938
"A15551","AD05","M","Publica",83.275
"A15576","AD05","M","Publica",79.153
"A15596","AD05","M","Publica",76.969
"A15603","AD05","M","Privada",71.612
"A15614","AD05","F","Publica",81.803
"A15619","AD05","M","Privada",87.936
"A15621","AD05","M","Privada",74.928
"A15622","AD05","M","Privada",82.327
"A15624","AD05","M","Privada",88.267
"A15625","AD05","F","Privada",91.16
"A15626","AD05","M","Publica",88.193
"A15627","AD05","M","Privada",94.982
"A15628","AD05","M","Privada",82.416
"A15629","AD05","F","Privada",81.686
"A15630","AD05","F","Publica",84.593
"A15631","AD05","M","Privada",80.641
"A15632","AD05","F","Publica",83.695
"A15634","AD05","M","Publica",80.869
"A15635","AD05","F","Publica",83.511
"A15636","AD05","F","Publica",88.777
"A15637","AD05","F","Publica",79.692
"A15638","AD05","F","Privada",84.727
"A15639","AD05","M","Publica",76.97
"A15640","AD05","M","Privada",79.321
"A15641","AD05","M","Privada",74.56
"A15642","AD05","M","Privada",77.296
"A15643","AD05","M","Publica",80.4
"A15644","AD05","M","Publica",75.666
"A15646","AD05","F","Publica",93.636
"A15647","AD05","F","Privada",91
"A15648","AD05","M","Publica",91.5
"A15650","AD05","F","Publica",92.218
"A15651","AD05","F","Privada",88.696
"A15652","AD05","M","Privada",79.5
"A15653","AD05","F","Privada",73.555
"A15654","AD05","F","Publica",79.612
"A15656","AD05","F","Privada",78.562
"A15657","AD05","M","Privada",83.16
"A15659","AD05","M","Privada",94.187
"A15660","AD05","M","Privada",92
"A15661","AD05","M","Privada",85.6
"A15662","AD05","M","Privada",85.142
"A15663","AD05","F","Privada",91.263
"A15666","AD05","M","Privada",84.8
"A15667","AD05","M","Privada",68.2
"A15668","AD05","M","Privada",73.85
"A15669","AD05","M","Privada",84.333
"A15670","AD05","M","Privada",70.19
"A15671","AD05","M","Privada",86.9
"A15672","AD05","F","Publica",88.531
"A15674","AD05","F","Privada",92.526
"A15675","AD05","M","Privada",91.157
"A15676","AD05","M","Publica",72.888
"A15677","AD05","M","Privada",91.55
"A15678","AD05","F","Privada",88.578
"A15682","AD05","M","Publica",92.571
"A15686","AD05","M","Privada",90.714
"A15688","AD05","F","Privada",90
"A15689","AD05","F","Publica",92.571
"A15692","AD05","M","Privada",73.666
"A15693","AD05","M","Publica",90.166
"A15695","AD05","M","Privada",80.142
"A16097","AD05","M","Privada",74.579
"A16115","AD05","F","Privada",79.851
"A16120","AD05","M","Privada",81.981
"A16270","AD05","M","Privada",68.671
"A16346","AD05","M","Privada",72.589
"A16397","AD05","M","Privada",75.984
"A16592","AD05","F","Privada",84.803
"A16656","AD05","F","Privada",72.632
"A16676","AD05","F","Privada",81.836
"A16690","AD05","F","Privada",78.653
"A16757","AD05","F","Privada",78.718
"A16835","AD05","M","Privada",84.018
"A16837","AD05","M","Privada",90
"A16838","AD05","M","Privada",85.035
"A16842","AD05","F","Privada",81.436
"A16855","AD05","M","Privada",80.275
"A16860","AD05","F","Privada",87.803
"A16865","AD05","F","Privada",75.865
"A16898","AD05","F","Privada",76.092
"A16903","AD05","F","Privada",74.3
"A16913","AD05","M","Privada",80.703
"A16914","AD05","F","Privada",79.03
"A16916","AD05","M","Privada",78.641
"A16917","AD05","F","Privada",80.606
"A16956","AD05","F","Privada",83.859
"A16958","AD05","F","Privada",74.589
"A16982","AD05","M","Privada",77.584
"A16983","AD05","M","Privada",82.258
"A16986","AD05","M","Privada",86.196
"A16991","AD05","F","Privada",96.618
"A16993","AD05","F","Privada",85.945
"A16995","AD05","F","Privada",91.166
"A16996","AD05","F","Privada",90.964
"A17019","AD05","M","Publica",80.273
"A17034","AD05","M","Privada",79.45
"A17035","AD05","M","Privada",87.214
"A17037","AD05","M","Privada",81.236
"A17038","AD05","F","Privada",82.072
"A17039","AD05","F","Privada",81.804
"A17041","AD05","F","Privada",78.666
"A17050","AD05","M","Privada",74.176
"A17051","AD05","M","Privada",74.383
"A17052","AD05","M","Privada",73.862
"A17053","AD05","M","Privada",95.4
"A17054","AD05","M","Privada",79.944
"A17055","AD05","M","Privada",77.203
"A17057","AD05","M","Privada",79.263
"A17058","AD05","M","Privada",80.12
"A17059","AD05","M","Privada",77.217
"A17060","AD05","M","Privada",83.157
"A17061","AD05","M","Privada",89.236
"A17062","AD05","F","Privada",89.91
"A17064","AD05","F","Privada",82.365
"A17066","AD05","M","Privada",84.826
"A17076","AD05","M","Privada",76.844
"A17077","AD05","M","Privada",83.185
"A17079","AD05","M","Publica",78.283
"A17081","AD05","F","Privada",91.836
"A17082","AD05","M","Privada",80.66
"A17083","AD05","M","Privada",80.769
"A17084","AD05","M","Privada",79.83
"A17086","AD05","F","Privada",90.767
"A17087","AD05","M","Privada",81.982
"A17088","AD05","F","Privada",82.822
"A17089","AD05","F","Privada",87.319
"A17091","AD05","M","Privada",87.45
"A17092","AD05","F","Privada",81.55
"A17093","AD05","F","Privada",94.368
"A17094","AD05","M","Privada",76.511
"A17095","AD05","M","Privada",78.21
"A17096","AD05","F","Privada",87.421
"A17098","AD05","M","Privada",85.734
"A17099","AD05","F","Privada",79.875
"A17102","AD05","F","Privada",88.38
"A17109","AD05","F","Privada",80.523
"A17110","AD05","M","Privada",76.086
"A17112","AD05","F","Privada",89.489
"A17116","AD05","M","Publica",72.978
"A17117","AD05","F","Privada",81.526
"A17118","AD05","F","Privada",78
"A17120","AD05","M","Privada",82.826
"A17127","AD05","M","Privada",77.122
"A17132","AD05","F","Publica",74.491
"A17140","AD05","M","Publica",77.084
"A17141","AD05","M","Publica",76.701
"A17147","AD05","M","Publica",76.555
"A17152","AD05","M","Publica",83.323
"A17154","AD05","M","Publica",75.651
"A17171","AD05","F","Publica",72.21
"A17176","AD05","M","Privada",73.871
"A17177","AD05","F","Privada",72.666
"A17179","AD05","M","Publica",71.25
"A17180","AD05","F","Publica",79
"A17184","AD05","F","Privada",86.608
"A17185","AD05","F","Privada",91.697
"A17186","AD05","F","Privada",85.272
"A17187","AD05","F","Privada",77.9
"A17188","AD05","F","Privada",81.886
"A17189","AD05","M","Privada",77.355
"A17190","AD05","M","Privada",77.439
"A17192","AD05","M","Privada",86.916
"A17193","AD05","F","Privada",88.697
"A17194","AD05","F","Privada",90.888
"A17195","AD05","F","Privada",91.954
"A17196","AD05","F","Privada",93.159
"A17197","AD05","M","Privada",89.977
"A17198","AD05","F","Privada",89.391
"A17199","AD05","F","Privada",90.179
"A17200","AD05","M","Privada",86.348
"A17201","AD05","M","Privada",86.358
"A17202","AD05","M","Privada",89.6
"A17203","AD05","M","Privada",90.491
"A17204","AD05","M","Privada",88.078
"A17205","AD05","M","Privada",84.906
"A17206","AD05","F","Privada",82.847
"A17207","AD05","M","Privada",86.476
"A17208","AD05","M","Privada",75.642
"A17210","AD05","F","Publica",78.028
"A17212","AD05","F","Privada",85.657
"A17213","AD05","F","Privada",84.375
"A17214","AD05","M","Privada",82.79
"A17215","AD05","M","Privada",80.382
"A17216","AD05","M","Publica",80.037
"A17217","AD05","M","Privada",73.575
"A17218","AD05","M","Privada",83.148
"A17219","AD05","M","Privada",82.5
"A17221","AD05","F","Privada",91.194
"A17223","AD05","M","Privada",82.547
"A17224","AD05","M","Privada",65.611
"A17226","AD05","F","Privada",94.162
"A17230","AD05","F","Privada",91.903
"A17231","AD05","F","Privada",89.677
"A17232","AD05","F","Privada",80.488
"A17236","AD05","F","Privada",88.171
"A17241","AD05","F","Privada",88.725
"A17243","AD05","M","Publica",74.947
"A17244","AD05","M","Privada",76.466
"A17245","AD05","M","Privada",80.209
"A17246","AD05","M","Privada",82.142
"A17247","AD05","M","Privada",86
"A17249","AD05","M","Privada",85.52
"A17250","AD05","M","Privada",79.733
"A17251","AD05","M","Privada",90.395
"A17253","AD05","M","Publica",71.243
"A17258","AD05","F","Privada",89.674
"A17264","AD05","M","Publica",77.461
"A17285","AD05","M","Publica",74.378
"A17287","AD05","F","Privada",82.976
"A17289","AD05","M","Publica",74.135
"A17294","AD05","F","Publica",77.932
"A17296","AD05","M","Publica",77.041
"A17297","AD05","M","Publica",77.935
"A17299","AD05","M","Publica",73.67
"A17300","AD05","M","Publica",71.8
"A17302","AD05","M","Publica",83.87
"A17305","AD05","F","Publica",81.283
"A17307","AD05","F","Publica",89.767
"A17308","AD05","M","Publica",76.171
"A17311","AD05","M","Publica",75.09
"A17313","AD05","M","Publica",90.557
"A17318","AD05","M","Privada",75.937
"A17319","AD05","F","Privada",89
"A17323","AD05","M","Publica",76.394
"A17325","AD05","F","Publica",80.85
"A17327","AD05","M","Publica",88.5
"A17328","AD05","M","Privada",88.181
"A17329","AD05","M","Privada",85
"A17330","AD05","M","Privada",87.878
"A17331","AD05","M","Privada",83.633
"A17333","AD05","M","Privada",72.612
"A17334","AD05","F","Privada",84.428
"A17335","AD05","M","Privada",84.58
"A17337","AD05","M","Privada",82.708
"A17338","AD05","F","Privada",86.578
"A17339","AD05","M","Privada",85.354
"A17340","AD05","F","Privada",90.035
"A17341","AD05","F","Privada",86.741
"A17343","AD05","F","Privada",90.351
"A17345","AD05","F","Privada",91.424
"A17346","AD05","M","Publica",79.173
"A17348","AD05","F","Privada",79.629
"A17349","AD05","M","Privada",90.444
"A17350","AD05","F","Privada",86.35
"A17351","AD05","F","Privada",91.285
"A17352","AD05","F","Privada",85.617
"A17354","AD05","M","Privada",84.322
"A17355","AD05","F","Privada",74.478
"A17356","AD05","F","Privada",89.939
"A17357","AD05","F","Privada",84.428
"A17358","AD05","M","Privada",86.769
"A17359","AD05","M","Privada",80.193
"A17360","AD05","F","Privada",85
"A17362","AD05","M","Publica",61.666
"A17367","AD05","F","Privada",93.093
"A17369","AD05","F","Privada",82.555
"A17370","AD05","M","Privada",75.857
"A17371","AD05","F","Privada",92.741
"A17372","AD05","M","Privada",82.062
"A17373","AD05","M","Privada",76.733
"A17375","AD05","F","Privada",83.939
"A17378","AD05","M","Privada",47.461
"A17379","AD05","M","Privada",84.666
"A17380","AD05","M","Privada",77.437
"A17381","AD05","F","Privada",82.593
"A17382","AD05","F","Privada",91.275
"A17383","AD05","F","Privada",87.441
"A17384","AD05","M","Privada",69.967
"A17386","AD05","M","Publica",81.606
"A17388","AD05","M","Privada",78.557
"A17389","AD05","F","Publica",83.433
"A17393","AD05","F","Privada",82.333
"A17395","AD05","M","Privada",77.05
"A17396","AD05","M","Publica",79.37
"A17400","AD05","M","Privada",73.384
"A17401","AD05","M","Privada",73.3
"A17402","AD05","F","Privada",80.8
"A17404","AD05","M","Publica",85.098
"A17406","AD05","F","Publica",78.646
"A17407","AD05","M","Publica",74.111
"A17408","AD05","F","Publica",83.283
"A17409","AD05","F","Publica",88.877
"A17410","AD05","M","Publica",79.257
"A17412","AD05","M","Privada",78.96
"A17414","AD05","M","Privada",83.612
"A17418","AD05","M","Publica",79.22
"A17419","AD05","M","Publica",78.034
"A17420","AD05","M","Publica",85.261
"A17421","AD05","F","Publica",81.14
"A17423","AD05","F","Publica",83.411
"A17424","AD05","M","Publica",75.028
"A17425","AD05","M","Publica",73.298
"A17426","AD05","M","Publica",77.827
"A17427","AD05","M","Publica",79.438
"A17432","AD05","F","Privada",92.285
"A17434","AD05","M","Privada",76.916
"A17435","AD05","M","Privada",86.32
"A17436","AD05","M","Publica",76.873
"A17438","AD05","M","Publica",74.312
"A17440","AD05","M","Publica",75.288
"A17441","AD05","M","Privada",80.388
"A17443","AD05","M","Publica",81.328
"A17444","AD05","F","Publica",86.838
"A17445","AD05","F","Publica",89.264
"A17446","AD05","F","Publica",85.381
"A17450","AD05","F","Privada",84.031
"A17451","AD05","F","Privada",92.285
"A17452","AD05","M","Publica",90.446
"A17453","AD05","F","Privada",88
"A17457","AD05","F","Privada",86.2
"A17458","AD05","M","Privada",89.263
"A17460","AD05","M","Publica",90.125
"A17461","AD05","F","Privada",82.066
"A17462","AD05","F","Privada",78.95
"A17463","AD05","M","Privada",86.619
"A17465","AD05","M","Privada",74
"A17467","AD05","M","Privada",87.761
"A17468","AD05","F","Privada",77.285
"A17469","AD05","M","Privada",82.1
"A17470","AD05","M","Privada",76.105
"A17471","AD05","M","Privada",75.111
"A17472","AD05","F","Privada",87.35
"A17473","AD05","F","Privada",78.55
"A17474","AD05","M","Publica",86.648
"A17475","AD05","M","Privada",75.5
"A17476","AD05","M","Privada",73.7
"A17477","AD05","M","Privada",79.75
"A17478","AD05","F","Privada",86.23
"A17479","AD05","M","Privada",83.05
"A17480","AD05","M","Privada",95.842
"A17481","AD05","F","Privada",95.263
"A17482","AD05","F","Privada",76.5
"A17483","AD05","M","Publica",79.666
"A17484","AD05","F","Privada",86.368
"A17485","AD05","F","Privada",78.941
"A17486","AD05","M","Privada",74.428
"A17487","AD05","F","Privada",89.285
"A17488","AD05","M","Privada",90.941
"A17489","AD05","F","Privada",74.615
"A17491","AD05","M","Privada",77
"A17492","AD05","M","Privada",82.357
"A17493","AD05","M","Publica",74.8
"A17494","AD05","M","Privada",83.888
"A17496","AD05","M","Privada",75.526
"A17499","AD05","F","Publica",84.448
"A17500","AD05","F","Privada",88.619
"A17502","AD05","M","Privada",78.684
"A17503","AD05","F","Privada",88
"A17504","AD05","M","Privada",72.3
"A17505","AD05","M","Privada",76.619
"A17506","AD05","M","Privada",75.888
"A17507","AD05","M","Privada",78.894
"A17508","AD05","M","Privada",76.684
"A17509","AD05","M","Privada",77.25
"A17512","AD05","M","Privada",81.263
"A17513","AD05","M","Privada",79.368
"A17514","AD05","F","Privada",85.263
"A17517","AD05","F","Privada",78.857
"A17518","AD05","M","Privada",91.153
"A17519","AD05","M","Privada",66.333
"A17520","AD05","F","Publica",84.576
"A17521","AD05","M","Privada",86.058
"A17522","AD05","F","Privada",81.75
"A17523","AD05","F","Publica",88.51
"A17524","AD05","F","Privada",79.153
"A17525","AD05","M","Publica",73.176
"A17528","AD05","M","Publica",84.435
"A17529","AD05","M","Publica",86.192
"A17530","AD05","F","Privada",10
"A17531","AD05","F","Publica",91.701
"A17532","AD05","F","Publica",93.563
"A17533","AD05","M","Publica",79.472
"A17534","AD05","M","Privada",78.75
"A17535","AD05","F","Publica",84.627
"A17536","AD05","F","Publica",92.627
"A17537","AD05","M","Publica",78.912
"A17538","AD05","M","Publica",76.529
"A17541","AD05","F","Publica",84.9
"A17542","AD05","M","Publica",96.711
"A17543","AD05","M","Publica",75.728
"A17545","AD05","M","Publica",83.962
"A17546","AD05","F","Publica",88.109
"A17549","AD05","F","Publica",84.95
"A17551","AD05","F","Publica",84.016
"A17552","AD05","F","Publica",91.157
"A17553","AD05","F","Publica",82.203
"A17554","AD05","M","Publica",73.938
"A17555","AD05","F","Publica",92.714
"A17556","AD05","F","Publica",90.762
"A17557","AD05","F","Publica",78.114
"A17558","AD05","M","Publica",80.126
"A17559","AD05","M","Publica",92.644
"A17560","AD05","F","Publica",82.448
"A17561","AD05","F","Publica",75.687
"A17562","AD05","M","Publica",76.411
"A17563","AD05","M","Publica",74.673
"A17565","AD05","F","Publica",77.34
"A17566","AD05","F","Publica",70.96
"A17568","AD05","M","Privada",69.416
"A17571","AD05","M","Publica",80.038
"A17573","AD05","M","Publica",68.789
"A17575","AD05","M","Publica",78.959
"A17577","AD05","M","Privada",85.428
"A17580","AD05","M","Publica",79.428
"A17581","AD05","M","Privada",76.857
"A17584","AD05","F","Privada",88.285
"A17585","AD05","F","Privada",73.142
"A17586","AD05","F","Privada",85.428
"A17588","AD05","M","Publica",80.76
"A17591","AD05","F","Privada",77.571
"A17592","AD05","M","Privada",97.428
"A17593","AD05","F","Privada",88
"A17594","AD05","M","Privada",87.666
"A17596","AD05","F","Privada",84.428
"A17597","AD05","F","Privada",91.714
"A17598","AD05","F","Privada",75.571
"A17599","AD05","F","Privada",89.571
"A17600","AD05","F","Privada",75.714
"A17602","AD05","M","Privada",92.285
"A17603","AD05","F","Privada",92.285
"A17604","AD05","F","Privada",91.142
"A17605","AD05","F","Privada",86.142
"A17606","AD05","M","Privada",86.428
"A17607","AD05","M","Publica",69.6
"A17608","AD05","M","Privada",80.142
"A17609","AD05","M","Privada",64.857
"A17611","AD05","M","Privada",75.285
"A17612","AD05","M","Privada",80.666
"A17614","AD05","M","Privada",86.714
"A17618","AD05","F","Privada",84.571
"A17620","AD05","M","Privada",79.714
"A17622","AD05","F","Privada",80.714
"A17623","AD05","M","Privada",88.571
"A17624","AD05","M","Publica",77.704
"A17625","AD05","M","Privada",67.6
"A17627","AD05","F","Publica",85.395
"A17629","AD05","M","Privada",68.666
"A17630","AD05","F","Privada",80.5
"A17632","AD05","M","Privada",74.285
"A17634","AD05","M","Privada",86.428
"A17635","AD05","M","Publica",78.818
"A17636","AD05","M","Publica",80.17
"A17637","AD05","M","Publica",79.023
"A17638","AD05","M","Privada",81.142
"A17639","AD05","M","Publica",87.844
"A17640","AD05","M","Privada",76.85
"A17641","AD05","M","Publica",76.763
"A17642","AD05","M","Privada",92.714
"A17643","AD05","M","Publica",80.611
"A17645","AD05","M","Publica",76.093
"A17646","AD05","M","Publica",84.022
"A17649","AD05","F","Publica",84.558
"A17650","AD05","F","Publica",92.523
"A17651","AD05","M","Publica",76.341
"A17652","AD05","M","Privada",78.142
"A17653","AD05","F","Publica",77.184
"A17654","AD05","M","Publica",79.027
"A17655","AD05","M","Publica",78.307
"A17656","AD05","M","Publica",77.704
"A17658","AD05","F","Privada",74.571
"A17659","AD05","M","Publica",76.35
"A17660","AD05","F","Publica",95.146
"A17662","AD05","F","Publica",80.78
"A17665","AD05","M","Publica",73.568
"A17667","AD05","F","Privada",87.444
"A17668","AD05","M","Publica",76.452
"A17669","AD05","M","Publica",74.902
"A17671","AD05","M","Publica",75.833
"A17672","AD05","M","Publica",85.55
"A17674","AD05","M","Privada",79.882
"A17675","AD05","F","Publica",85.272
"A17677","AD05","M","Publica",72.64
"A17685","AD05","M","Publica",86.741
"A17686","AD05","M","Publica",90.5
"A17687","AD05","M","Publica",78.161
"A17689","AD05","F","Publica",88.05
"A18004","AD05","M","Privada",80.855
"A18041","AD05","M","Privada",70.37
"A18045","AD05","M","Privada",70.291
"A18120","AD05","M","Privada",69.867
"A18123","AD05","M","Privada",74.954
"A18135","AD05","M","Publica",83.465
"A18168","AD05","M","Privada",94.947
"A18180","AD05","M","Privada",81.102
"A18181","AD05","F","Privada",82.885
"A18184","AD05","F","Privada",89.469
"A18192","AD05","M","Privada",74.224
"A18193","AD05","M","Privada",79.303
"A18194","AD05","M","Privada",80.537
"A18195","AD05","F","Privada",82.886
"A18202","AD05","F","Publica",94
"A18203","AD05","M","Privada",78.042
"A18204","AD05","M","Privada",81.859
"A18208","AD05","M","Privada",84.075
"A18215","AD05","M","Privada",78.225
"A18222","AD05","M","Privada",74.926
"A18225","AD05","M","Publica",71.954
"A18228","AD05","M","Publica",88.135
"A18244","AD05","M","Publica",70.257
"A18249","AD05","M","Publica",73.363
"A18255","AD05","M","Privada",74.037
"A18257","AD05","M","Privada",76.603
"A18259","AD05","F","Privada",72.973
"A18260","AD05","F","Privada",85.214
"A18261","AD05","F","Privada",83.418
"A18262","AD05","M","Privada",86.62
"A18263","AD05","M","Privada",84.828
"A18264","AD05","F","Privada",90.842
"A18266","AD05","F","Privada",84.084
"A18267","AD05","M","Privada",78.17
"A18268","AD05","F","Privada",79.8
"A18269","AD05","F","Privada",75.8
"A18270","AD05","M","Privada",90.45
"A18272","AD05","M","Publica",71.015
"A18273","AD05","M","Privada",82.278
"A18274","AD05","M","Privada",77.089
"A18276","AD05","F","Privada",84.741
"A18277","AD05","F","Privada",88.796
"A18280","AD05","F","Privada",77.226
"A18281","AD05","M","Privada",75.74
"A18282","AD05","M","Privada",84.508
"A18287","AD05","M","Privada",89.91
"A18289","AD05","M","Privada",86.894
"A18292","AD05","M","Privada",94.946
"A18294","AD05","F","Privada",86.551
"A18301","AD05","M","Privada",85.07
"A18302","AD05","M","Privada",90.446
"A18303","AD05","M","Privada",91.444
"A18304","AD05","F","Privada",84.529
"A18305","AD05","M","Privada",84
"A18307","AD05","F","Publica",94.508
"A18316","AD05","M","Publica",79.095
"A18318","AD05","M","Privada",87.016
"A18319","AD05","F","Privada",86.25
"A18321","AD05","M","Privada",77.728
"A18322","AD05","M","Privada",77.679
"A18324","AD05","M","Privada",82.649
"A18325","AD05","F","Privada",82.511
"A18331","AD05","F","Privada",83.609
"A18333","AD05","F","Privada",85.811
"A18334","AD05","M","Privada",74.816
"A18335","AD05","M","Privada",75.864
"A18336","AD05","F","Privada",90.581
"A18339","AD05","M","Privada",91.892
"A18341","AD05","M","Privada",74.625
"A18343","AD05","M","Privada",81.367
"A18344","AD05","F","Privada",84.272
"A18347","AD05","F","Privada",90.392
"A18348","AD05","F","Privada",86.888
"A18349","AD05","F","Privada",93.222
"A18350","AD05","F","Privada",97.148
"A18351","AD05","M","Privada",78.6
"A18354","AD05","F","Privada",92.181
"A18355","AD05","M","Privada",84.806
"A18356","AD05","M","Publica",73.666
"A18357","AD05","M","Privada",88.5
"A18360","AD05","M","Privada",70.385
"A18362","AD05","F","Privada",84.254
