idAlumno,Cd_Procedencia,Edo_Procedencia,Pais_Procedencia
A87993,Monterrey,Nuevo León,México
A21985,Monterrey,Nuevo León,México
A89982,San Pedro Garza García,Nuevo León,México
A88022,Monterrey,Nuevo León,México
A93147,Monterrey,Nuevo León,México
A82825,San Pedro Garza García,Nuevo León,México
A79053,Ciudad del Carmen,Campeche,México
A44252,San Pedro Garza García,Nuevo León,México
A31146,México,Distrito Federal,México
A51940,Monterrey,Nuevo León,México
A49637,Monterrey,Nuevo León,México
A47938,Monterrey,Nuevo León,México
A43600,Ciudad Madero,Tamaulipas,México
A87432,Guadalupe,Nuevo León,México
A90183,Monterrey,Nuevo León,México
A81844,San Pedro Garza García,Nuevo León,México
A89135,San Pedro Garza García,Nuevo León,México
A71744,San Pedro Garza García,Nuevo León,México
A30099,Monterrey,Nuevo León,México
A31405,Monterrey,Nuevo León,México
A27068,San Nicolás de los Garza,Nuevo León,México
A52179,Monterrey,Nuevo León,México
A82041,San Pedro Garza García,Nuevo León,México
A26691,San Pedro Garza García,Nuevo León,México
A91293,Monterrey,Nuevo León,México
A79047,Veracruz,Veracruz,México
A50841,Monterrey,Nuevo León,México
A89801,Monterrey,Nuevo León,México
A70349,Ciudad Valles,San Luis Potosí,México
A39724,Monterrey,Nuevo León,México
A43857,Monterrey,Nuevo León,México
A48806,Monterrey,Nuevo León,México
A19925,Monterrey,Nuevo León,México
A61752,Monterrey,Nuevo León,México
A44152,San Pedro Garza García,Nuevo León,México
A39178,San Pedro Garza García,Nuevo León,México
A94054,Monterrey,Nuevo León,México
A77298,Monclova,Coahuila,México
A78407,Guadalupe,Nuevo León,México
A79088,Monterrey,Nuevo León,México
A42697,Yerbaniz,Nuevo León,México
A25416,Saltillo,Coahuila,México
A81703,Monterrey,Nuevo León,México
A65345,Monterrey,Nuevo León,México
A66799,San Nicolás de los Garza,Nuevo León,México
A16689,Monterrey,Nuevo León,México
A48792,Monterrey,Nuevo León,México
A85928,Monterrey,Nuevo León,México
A57904,San Pedro Garza García,Nuevo León,México
A58343,Monterrey,Nuevo León,México
A90756,Monterrey,Nuevo León,México
A15957,San Pedro Garza García,Nuevo León,México
A36364,Monterrey,Nuevo León,México
A28658,Guadalupe,Nuevo León,México
A86265,San Pedro Garza García,Nuevo León,México
A55566,San Pedro Garza García,Nuevo León,México
A79747,Monterrey,Nuevo León,México
A89213,San Pedro Garza García,Nuevo León,México
A93392,Torreón,Coahuila,México
A51817,Saltillo,Coahuila,México
A58179,Monterrey,Nuevo León,México
A38378,Monterrey,Nuevo León,México
A17349,Guadalupe,Nuevo León,México
A66956,Monterrey,Nuevo León,México
A93823,Monterrey,Nuevo León,México
A71480,Monterrey,Nuevo León,México
A83865,Saltillo,Coahuila,México
A74817,Monterrey,Nuevo León,México
A42399,San Pedro Garza García,Nuevo León,México
A36756,Torreón,Coahuila,México
A18753,San Pedro Garza García,Nuevo León,México
A63165,San Pedro Garza García,Nuevo León,México
A68151,Guadalupe,Nuevo León,México
A72991,Santa Catarina,Nuevo León,México
A35620,Monterrey,Nuevo León,México
A42504,Monterrey,Nuevo León,México
A29374,Monterrey,Nuevo León,México
A41858,Monterrey,Nuevo León,México
A69970,Monterrey,Nuevo León,México
A43000,Monterrey,Nuevo León,México
A81349,Monterrey,Nuevo León,México
A17646,Guadalupe,Nuevo León,México
A90075,Monterrey,Nuevo León,México
A84875,San Pedro Garza García,Nuevo León,México
A93702,Monterrey,Nuevo León,México
A16111,Monterrey,Nuevo León,México
A28511,Monterrey,Nuevo León,México
A17116,Monterrey,Nuevo León,México
A58983,San Pedro Garza García,Nuevo León,México
A81198,Guadalupe,Nuevo León,México
A59653,San Pedro Garza García,Nuevo León,México
A62831,Monterrey,Nuevo León,México
A88723,San Pedro Garza García,Nuevo León,México
A67965,Monterrey,Nuevo León,México
A89248,San Pedro Garza García,Nuevo León,México
A32985,Monterrey,Nuevo León,México
A51967,San Pedro Garza García,Nuevo León,México
A57882,San Pedro Garza García,Nuevo León,México
A37469,Monterrey,Nuevo León,México
A63956,Monterrey,Nuevo León,México
A24960,Saltillo,Coahuila,México
A85678,Topia,Durango,México
A77862,San Pedro Garza García,Nuevo León,México
A45305,San Pedro Garza García,Nuevo León,México
A64533,Monterrey,Nuevo León,México
A87091,San Pedro Garza García,Nuevo León,México
A21230,Monterrey,Nuevo León,México
A70662,Monterrey,Nuevo León,México
A93150,Monterrey,Nuevo León,México
A90462,Monterrey,Nuevo León,México
A93012,Monterrey,Nuevo León,México
A31856,San Pedro Garza García,Nuevo León,México
A32627,Monterrey,Nuevo León,México
A59190,Monterrey,Nuevo León,México
A79866,Santiago,Nuevo León,México
A95023,San Pedro Garza García,Nuevo León,México
A37177,Monterrey,Nuevo León,México
A69293,Monterrey,Nuevo León,México
A76625,Monterrey,Nuevo León,México
A17130,Chihuahua,Chihuahua,México
A49912,Monterrey,Nuevo León,México
A49950,Monterrey,Nuevo León,México
A37840,Guadalupe,Nuevo León,México
A91393,Acatepec,Puebla,México
A44024,San Nicolás de los Garza,Nuevo León,México
A39917,Chihuahua,Chihuahua,México
A26961,Monterrey,Nuevo León,México
A81819,San Pedro Garza García,Nuevo León,México
A95070,Monterrey,Nuevo León,México
A48102,Ciudad Juárez,Chihuahua,México
A59119,Monterrey,Nuevo León,México
A33935,Monterrey,Nuevo León,México
A34094,Monterrey,Nuevo León,México
A65691,San Pedro Garza García,Nuevo León,México
A64947,San Pedro Garza García,Nuevo León,México
A32957,Monterrey,Nuevo León,México
A35749,Monterrey,Nuevo León,México
A47607,Monterrey,Nuevo León,México
A88215,Monterrey,Nuevo León,México
A89698,Monterrey,Nuevo León,México
A79803,Guadalupe,Nuevo León,México
A89568,Monterrey,Nuevo León,México
A80049,Monterrey,Nuevo León,México
A75617,Monterrey,Nuevo León,México
A32917,Guadalupe,Nuevo León,México
A52089,Toluca de Lerdo,Estado de México,México
A50935,Monterrey,Nuevo León,México
A79875,Guadalupe,Nuevo León,México
A82683,Monterrey,Nuevo León,México
A30717,San Antonio,Texas,Estados Unidos de América
A56805,Albertville,Minnesota,Estados Unidos de América
A85965,San Nicolás de los Garza,Nuevo León,México
A64536,Monterrey,Nuevo León,México
A80918,San Pedro Garza García,Nuevo León,México
A30986,Ciudad del Carmen,Campeche,México
A83369,Guadalupe,Nuevo León,México
A87584,Monterrey,Nuevo León,México
A77767,Tlalpan,Distrito Federal,México
A15841,Monterrey,Nuevo León,México
A32890,Monterrey,Nuevo León,México
A56254,Monterrey,Nuevo León,México
A57496,Monterrey,Nuevo León,México
A34029,Guadalupe,Nuevo León,México
A61957,Monterrey,Nuevo León,México
A75306,Monterrey,Nuevo León,México
A94592,San Nicolás de los Garza,Nuevo León,México
A54246,San Pedro Garza García,Nuevo León,México
A58013,San Pedro Garza García,Nuevo León,México
A45328,San Pedro Garza García,Nuevo León,México
A82726,Monterrey,Nuevo León,México
A35548,Monterrey,Nuevo León,México
A20798,Monterrey,Nuevo León,México
A84379,San Pedro Garza García,Nuevo León,México
A87779,Cuajimalpa de Morelos,Distrito Federal,México
A94357,San Pedro Garza García,Nuevo León,México
A56330,Monterrey,Nuevo León,México
A58788,Santa Catarina,Nuevo León,México
A18858,Monterrey,Nuevo León,México
A38688,Monterrey,Nuevo León,México
A80734,Ciudad del Carmen,Campeche,México
A68256,Monterrey,Nuevo León,México
A88589,Monterrey,Nuevo León,México
A87277,Monterrey,Nuevo León,México
A76661,Monterrey,Nuevo León,México
A30118,Monterrey,Nuevo León,México
A79456,Monterrey,Nuevo León,México
A26229,Tampico,Tamaulipas,México
A26360,Torreón,Coahuila,México
A26027,Monterrey,Nuevo León,México
A40398,Guadalupe,Nuevo León,México
A40617,San Pedro Garza García,Nuevo León,México
A26564,Monterrey,Nuevo León,México
A46390,México,Distrito Federal,México
A42165,Monterrey,Nuevo León,México
A25260,Monterrey,Nuevo León,México
A73026,Monterrey,Nuevo León,México
A73766,Monterrey,Nuevo León,México
A84118,Monterrey,Nuevo León,México
A43751,Ciudad Madero,Tamaulipas,México
A28773,Guadalupe,Nuevo León,México
A24835,Culiacán,Sinaloa,México
A72646,Chihuahua,Chihuahua,México
A92446,Monterrey,Nuevo León,México
A31178,Monterrey,Nuevo León,México
A54646,San Pedro Garza García,Nuevo León,México
A69271,Monterrey,Nuevo León,México
A88537,Monterrey,Nuevo León,México
A26952,San Pedro Garza García,Nuevo León,México
A78016,Monterrey,Nuevo León,México
A43604,Cuauhtémoc,Distrito Federal,México
A54958,San Pedro Garza García,Nuevo León,México
A56123,Monterrey,Nuevo León,México
A80279,Monterrey,Nuevo León,México
A80538,Monterrey,Nuevo León,México
A62852,San Pedro Garza García,Nuevo León,México
A65098,San Pedro Garza García,Nuevo León,México
A74776,Monterrey,Nuevo León,México
A22415,Saltillo,Coahuila,México
A67777,Nuevo Laredo,Tamaulipas,México
A40210,San Nicolás de los Garza,Nuevo León,México
A90728,Monterrey,Nuevo León,México
A43266,San Pedro Garza García,Nuevo León,México
A59325,Monterrey,Nuevo León,México
A29949,San Nicolás de los Garza,Nuevo León,México
A54534,Monterrey,Nuevo León,México
A81439,San Pedro Garza García,Nuevo León,México
A20199,Saltillo,Coahuila,México
A81948,Monterrey,Nuevo León,México
A43174,Guadalupe,Nuevo León,México
A43813,Ciudad Madero,Tamaulipas,México
A81700,Monterrey,Nuevo León,México
A63422,Torreón,Coahuila,México
A87422,Monterrey,Nuevo León,México
A26842,San Pedro Garza García,Nuevo León,México
A53167,Hermosillo,Sonora,México
A50448,Monterrey,Nuevo León,México
A41424,Guadalupe,Nuevo León,México
A62396,San Pedro Garza García,Nuevo León,México
A34984,San Pedro Garza García,Nuevo León,México
A93261,Monterrey,Nuevo León,México
A89667,Monterrey,Nuevo León,México
A74141,Monterrey,Nuevo León,México
A94941,Monterrey,Nuevo León,México
A91624,San Pedro Garza García,Nuevo León,México
A20158,San Pedro Garza García,Nuevo León,México
A52599,Guadalupe,Nuevo León,México
A58809,Guadalupe,Nuevo León,México
A22707,Monterrey,Nuevo León,México
A39870,Monterrey,Nuevo León,México
A72630,Guadalupe,Nuevo León,México
A40835,Monterrey,Nuevo León,México
A92430,Torreón,Coahuila,México
A76665,Querétaro,Querétaro,México
A47044,San Pedro Garza García,Nuevo León,México
A42050,San Pedro Garza García,Nuevo León,México
A35337,Monterrey,Nuevo León,México
A87312,Monterrey,Nuevo León,México
A81467,Toluca de Lerdo,Estado de México,México
A81837,Monterrey,Nuevo León,México
A35372,Monterrey,Nuevo León,México
A82058,Monterrey,Nuevo León,México
A66785,Monterrey,Nuevo León,México
A26367,San Pedro Garza García,Nuevo León,México
A92352,Monterrey,Nuevo León,México
A85120,San Pedro Garza García,Nuevo León,México
A15882,Monterrey,Nuevo León,México
A46623,San Pedro Garza García,Nuevo León,México
A65668,Monterrey,Nuevo León,México
A90874,Manhattan,Kansas,Estados Unidos de América
A92312,San Pedro Garza García,Nuevo León,México
A22462,San Buenaventura,Coahuila,México
A50926,Monterrey,Nuevo León,México
A24180,Monterrey,Nuevo León,México
A64302,San Nicolás de los Garza,Nuevo León,México
A73539,San Pedro Garza García,Nuevo León,México
A94322,Monterrey,Nuevo León,México
A93639,Monterrey,Nuevo León,México
A95008,San Pedro Garza García,Nuevo León,México
A47063,Bugambilias,Jalisco,México
A27496,Monterrey,Nuevo León,México
A43384,San Pedro Garza García,Nuevo León,México
A41729,San Pedro Garza García,Nuevo León,México
A87069,Monterrey,Nuevo León,México
A75594,Monterrey,Nuevo León,México
A94337,Torreón,Coahuila,México
A36185,Monterrey,Nuevo León,México
A61353,Monterrey,Nuevo León,México
A62557,San Nicolás de los Garza,Nuevo León,México
A68739,Guadalupe,Nuevo León,México
A37009,San Pedro Garza García,Nuevo León,México
A55147,Monterrey,Nuevo León,México
A51325,Monterrey,Nuevo León,México
A56310,Monterrey,Nuevo León,México
A48352,Monterrey,Nuevo León,México
A62517,Monterrey,Nuevo León,México
A66079,San Pedro Garza García,Nuevo León,México
A90354,San Pedro Garza García,Nuevo León,México
A59838,Monterrey,Nuevo León,México
A90484,Ciudad Adolfo López Mateos,Estado de México,México
A70684,Zapopan,Jalisco,México
A28373,San Pedro Garza García,Nuevo León,México
A55209,Guadalupe,Nuevo León,México
A19928,Monterrey,Nuevo León,México
A26096,Monterrey,Nuevo León,México
A25673,Monterrey,Nuevo León,México
A23024,Cuajimalpa de Morelos,Distrito Federal,México
A53595,Guadalupe,Nuevo León,México
A49743,San Nicolás de los Garza,Nuevo León,México
A54424,Monterrey,Nuevo León,México
A59657,Guadalupe,Nuevo León,México
A60175,Monterrey,Nuevo León,México
A40313,Monterrey,Nuevo León,México
A26849,Monterrey,Nuevo León,México
A33087,Guadalupe,Nuevo León,México
A17124,Saltillo,Coahuila,México
A51080,Alvaro Obregón,Distrito Federal,México
A80588,Guadalupe,Nuevo León,México
A40245,Monterrey,Nuevo León,México
A74780,Monterrey,Nuevo León,México
A94318,Monterrey,Nuevo León,México
A43507,Monterrey,Nuevo León,México
A43819,Monterrey,Nuevo León,México
A18192,San Nicolás de los Garza,Nuevo León,México
A16131,General Escobedo,Nuevo León,México
A16525,Guadalupe,Nuevo León,México
A32526,Santiago,Nuevo León,México
A49853,Monterrey,Nuevo León,México
A28583,Monterrey,Nuevo León,México
A72923,Monterrey,Nuevo León,México
A41375,Monterrey,Nuevo León,México
A36584,Monterrey,Nuevo León,México
A30083,Villahermosa,Tabasco,México
A52915,San Pedro Garza García,Nuevo León,México
A86720,Monterrey,Nuevo León,México
A34579,Monterrey,Nuevo León,México
A42032,Reynosa,Tamaulipas,México
A26803,Monterrey,Nuevo León,México
A54524,San Nicolás de los Garza,Nuevo León,México
A89648,San Pedro Garza García,Nuevo León,México
A82546,Apatzingán,Michoacán,México
A80099,San Pedro Garza García,Nuevo León,México
A49565,Monterrey,Nuevo León,México
A58692,Guadalupe,Nuevo León,México
A89202,Monterrey,Nuevo León,México
A88293,Monterrey,Nuevo León,México
A33210,Monterrey,Nuevo León,México
A22154,Guadalupe,Nuevo León,México
A21557,San Pedro Garza García,Nuevo León,México
A34154,Benito Juárez,Distrito Federal,México
A65295,Guadalupe,Nuevo León,México
A89174,Monclova,Coahuila,México
A39771,Guadalupe,Nuevo León,México
A15412,Guadalupe,Nuevo León,México
A78107,Guadalajara,Jalisco,México
A32141,San Pedro Garza García,Nuevo León,México
A43878,San Nicolás de los Garza,Nuevo León,México
A89685,Culiacán,Sinaloa,México
A65394,Monterrey,Nuevo León,México
A83210,Ciudad Victoria,Tamaulipas,México
A40169,Monterrey,Nuevo León,México
A44827,Monterrey,Nuevo León,México
A87920,San Nicolás de los Garza,Nuevo León,México
A48158,San Pedro Garza García,Nuevo León,México
A88915,Monterrey,Nuevo León,México
A88411,Monterrey,Nuevo León,México
A44743,Guadalupe,Nuevo León,México
A68084,Guadalupe,Nuevo León,México
A88658,Monterrey,Nuevo León,México
A40751,Coatzacoalcos,Veracruz,México
A95050,Monterrey,Nuevo León,México
A28128,General Escobedo,Nuevo León,México
A60417,Guadalupe,Nuevo León,México
A63597,Monterrey,Nuevo León,México
A87636,Alvaro Obregón,Distrito Federal,México
A26410,Monterrey,Nuevo León,México
A22603,San Pedro Garza García,Nuevo León,México
A82433,Azcapotzalco,Distrito Federal,México
A91748,Monterrey,Nuevo León,México
A78365,Ciudad Victoria,Tamaulipas,México
A14701,Monterrey,Nuevo León,México
A33178,Monterrey,Nuevo León,México
A27139,Monterrey,Nuevo León,México
A64632,Guadalupe,Nuevo León,México
A90399,San Pedro Garza García,Nuevo León,México
A80709,Hermosillo,Sonora,México
A78721,Monterrey,Nuevo León,México
A50940,Monterrey,Nuevo León,México
A20161,Guadalupe,Nuevo León,México
A79369,Guadalupe,Nuevo León,México
A39124,Columbiaville,Michigan,Estados Unidos de América
A80844,Monterrey,Nuevo León,México
A69048,Monterrey,Nuevo León,México
A71934,Villahermosa,Tabasco,México
A40143,Santiago,Nuevo León,México
A15684,Guadalupe,Nuevo León,México
A80784,Monterrey,Nuevo León,México
A89822,Monterrey,Nuevo León,México
A77982,Monterrey,Nuevo León,México
A42290,Ciudad Mante,Tamaulipas,México
A61781,San Pedro Garza García,Nuevo León,México
A19963,Matamoros (Heróica Matamoros),Tamaulipas,México
A82995,San Pedro Garza García,Nuevo León,México
A39883,Monterrey,Nuevo León,México
A54748,San Pedro Garza García,Nuevo León,México
A79553,Monterrey,Nuevo León,México
A80356,Metepec,Estado de México,México
A34648,Mexicali,Baja California,México
A66874,Coatzacoalcos,Veracruz,México
A71375,Monterrey,Nuevo León,México
A71870,Guadalupe,Nuevo León,México
A85313,San Pedro Garza García,Nuevo León,México
A84549,Monterrey,Nuevo León,México
A78313,San Pedro Garza García,Nuevo León,México
A31511,Monterrey,Nuevo León,México
A32261,Monterrey,Nuevo León,México
A36061,Monterrey,Nuevo León,México
A30673,San Pedro Garza García,Nuevo León,México
A52517,San Pedro Garza García,Nuevo León,México
A50773,Monterrey,Nuevo León,México
A37836,Monterrey,Nuevo León,México
A61272,Morelia,Michoacán,México
A22951,Monterrey,Nuevo León,México
A15233,San Nicolás de los Garza,Nuevo León,México
A86689,Monterrey,Nuevo León,México
A59973,Monterrey,Nuevo León,México
A44653,San Pedro Garza García,Nuevo León,México
A82883,San Pedro Garza García,Nuevo León,México
A67218,Monterrey,Nuevo León,México
A67013,San Pedro Garza García,Nuevo León,México
A92017,San Pedro Garza García,Nuevo León,México
A76474,Monterrey,Nuevo León,México
A78482,San Pedro Garza García,Nuevo León,México
A52006,Ciudad Obregón,Sonora,México
A52201,Monterrey,Nuevo León,México
A23579,Monterrey,Nuevo León,México
A56140,San Pedro Garza García,Nuevo León,México
A88272,Monterrey,Nuevo León,México
A80381,Monclova,Coahuila,México
A15096,Monterrey,Nuevo León,México
A43617,Monterrey,Nuevo León,México
A24044,San Nicolás de los Garza,Nuevo León,México
A21053,Acuña,Coahuila,México
A55407,Coyoacán,Distrito Federal,México
A61886,Monterrey,Nuevo León,México
A83453,Monterrey,Nuevo León,México
A19322,Monterrey,Nuevo León,México
A90038,Nuevo Laredo,Tamaulipas,México
A44541,San Pedro Garza García,Nuevo León,México
A31429,Monterrey,Nuevo León,México
A49002,Saltillo,Coahuila,México
A80342,Monterrey,Nuevo León,México
A38353,Monterrey,Nuevo León,México
A90244,Saltillo,Coahuila,México
A22895,San Pedro Garza García,Nuevo León,México
A39008,Ciudad Juárez,Chihuahua,México
A90056,Monterrey,Nuevo León,México
A20950,Durango,Durango,México
A74675,Durango,Durango,México
A37357,Monterrey,Nuevo León,México
A28779,Monterrey,Nuevo León,México
A89650,Monterrey,Nuevo León,México
A83776,San Pedro Garza García,Nuevo León,México
A32066,Monterrey,Nuevo León,México
A63653,Monterrey,Nuevo León,México
A44013,San Pedro Garza García,Nuevo León,México
A94130,San Pedro Garza García,Nuevo León,México
A77269,San Nicolás de los Garza,Nuevo León,México
A44324,San Pedro Garza García,Nuevo León,México
A53119,Monterrey,Nuevo León,México
A24584,Guadalupe,Nuevo León,México
A59314,San Pedro Garza García,Nuevo León,México
A24448,Monterrey,Nuevo León,México
A28832,Monterrey,Nuevo León,México
A46513,Monterrey,Nuevo León,México
A25806,Nuevo Laredo,Tamaulipas,México
A71029,Monterrey,Nuevo León,México
A36885,Monterrey,Nuevo León,México
A62255,Monterrey,Nuevo León,México
A65965,Monterrey,Nuevo León,México
A67007,Aguascalientes,Aguascalientes,México
A88967,Puebla,Puebla,México
A39279,Monterrey,Nuevo León,México
A40839,Monterrey,Nuevo León,México
A45260,Monterrey,Nuevo León,México
A53997,Ciudad Victoria,Tamaulipas,México
A62215,San Pedro Garza García,Nuevo León,México
A68674,Monterrey,Nuevo León,México
A70522,Guadalupe,Nuevo León,México
A84465,Monterrey,Nuevo León,México
A90622,Monterrey,Nuevo León,México
A40422,Saltillo,Coahuila,México
A23674,Guadalupe,Nuevo León,México
A88534,Monterrey,Nuevo León,México
A49823,Monterrey,Nuevo León,México
A61737,Zapopan,Jalisco,México
A79516,Monterrey,Nuevo León,México
A93716,San Pedro Garza García,Nuevo León,México
A52402,Monterrey,Nuevo León,México
A49107,Monterrey,Nuevo León,México
A47414,Saltillo,Coahuila,México
A81220,Aguascalientes,Aguascalientes,México
A28780,Monterrey,Nuevo León,México
A57811,San Pedro Garza García,Nuevo León,México
A60767,San Pedro Garza García,Nuevo León,México
A80944,San Pedro Garza García,Nuevo León,México
A38897,Monterrey,Nuevo León,México
A89302,Monterrey,Nuevo León,México
A77514,Monterrey,Nuevo León,México
A77707,Tampico,Tamaulipas,México
A42311,Guadalupe,Nuevo León,México
A36129,Monterrey,Nuevo León,México
A43407,Monterrey,Nuevo León,México
A67151,Monclova,Coahuila,México
A73507,Monterrey,Nuevo León,México
A76472,San Pedro Garza García,Nuevo León,México
A93607,Cochabamba,Cochabamba,Bolivia
A36626,Monterrey,Nuevo León,México
A33304,Monterrey,Nuevo León,México
A56726,San Nicolás de los Garza,Nuevo León,México
A61275,San Pedro Garza García,Nuevo León,México
A15440,Tampico,Tamaulipas,México
A34759,Monterrey,Nuevo León,México
A88866,Monterrey,Nuevo León,México
A77170,Monterrey,Nuevo León,México
A46604,Guadalupe,Nuevo León,México
A79644,San Nicolás de los Garza,Nuevo León,México
A62289,Monterrey,Nuevo León,México
A24475,Monterrey,Nuevo León,México
A64974,Monterrey,Nuevo León,México
A68065,Monterrey,Nuevo León,México
A24801,Tuxpan de Rodríguez Cano,Veracruz,México
A93296,Monterrey,Nuevo León,México
A39653,Monterrey,Nuevo León,México
A90596,Monterrey,Nuevo León,México
A87847,Villahermosa,Tabasco,México
A50286,Monterrey,Nuevo León,México
A61595,Monterrey,Nuevo León,México
A76827,Monterrey,Nuevo León,México
A18244,Guadalajara,Jalisco,México
A53539,Ciudad Juárez,Chihuahua,México
A49089,Guadalupe,Nuevo León,México
A61887,San Pedro Garza García,Nuevo León,México
A23140,Ixtaczoquitlán,Veracruz,México
A26195,Monterrey,Nuevo León,México
A66699,Monterrey,Nuevo León,México
A41308,Monclova,Coahuila,México
A45316,Guadalupe,Nuevo León,México
A86112,Guadalupe,Nuevo León,México
A66959,Monterrey,Nuevo León,México
A70951,San Pedro Garza García,Nuevo León,México
A40359,Monterrey,Nuevo León,México
A15540,Monterrey,Nuevo León,México
A49933,Monterrey,Nuevo León,México
A80976,San Pedro Garza García,Nuevo León,México
A34558,Monterrey,Nuevo León,México
A34854,Monterrey,Nuevo León,México
A69654,Monterrey,Nuevo León,México
A77076,Monterrey,Nuevo León,México
A37356,San Pedro Garza García,Nuevo León,México
A59040,Monterrey,Nuevo León,México
A80015,Tapachula,Chiapas,México
A77517,San Pedro Garza García,Nuevo León,México
A49423,Monterrey,Nuevo León,México
A79523,Monterrey,Nuevo León,México
A88878,Durango,Durango,México
A91540,Jalapa,Veracruz,México
A44731,Monterrey,Nuevo León,México
A52114,Jalapa,Veracruz,México
A64526,Monterrey,Nuevo León,México
A87971,Guadalupe,Nuevo León,México
A69942,Monterrey,Nuevo León,México
A67648,San Pedro Garza García,Nuevo León,México
A15482,Chihuahua,Chihuahua,México
A59118,Monterrey,Nuevo León,México
A26143,San Pedro Garza García,Nuevo León,México
A70369,Monterrey,Nuevo León,México
A39516,Monterrey,Nuevo León,México
A55822,Monterrey,Nuevo León,México
A48499,Monterrey,Nuevo León,México
A59623,San Pedro Garza García,Nuevo León,México
A33743,Monterrey,Nuevo León,México
A83146,San Pedro Garza García,Nuevo León,México
A56274,Monterrey,Nuevo León,México
A68659,San Nicolás de los Garza,Nuevo León,México
A70879,Matamoros (Heróica Matamoros),Tamaulipas,México
A17072,Monterrey,Nuevo León,México
A48124,Ramos Arizpe,Coahuila,México
A33791,Monterrey,Nuevo León,México
A89544,San Pedro Garza García,Nuevo León,México
A59955,San Pedro Garza García,Nuevo León,México
A61344,Monterrey,Nuevo León,México
A64774,San Pedro Garza García,Nuevo León,México
A41892,Monterrey,Nuevo León,México
A67472,Monterrey,Nuevo León,México
A75662,San Pedro Garza García,Nuevo León,México
A52064,Monterrey,Nuevo León,México
A14225,San Nicolás de los Garza,Nuevo León,México
A26109,Guadalupe,Nuevo León,México
A83227,San Pedro Garza García,Nuevo León,México
A69315,San Pedro Garza García,Nuevo León,México
A69341,Monterrey,Nuevo León,México
A92712,San Pedro Garza García,Nuevo León,México
A77939,Monterrey,Nuevo León,México
A92917,San Pedro Garza García,Nuevo León,México
A23687,Ciudad Victoria,Tamaulipas,México
A23926,San Pedro Garza García,Nuevo León,México
A43838,Monterrey,Nuevo León,México
A64785,San Pedro Garza García,Nuevo León,México
A91509,Guadalupe,Nuevo León,México
A89585,San Luis Potosí,San Luis Potosí,México
A35352,Monterrey,Nuevo León,México
A70844,Valparaíso,Zacatecas,México
A24825,San Pedro Garza García,Nuevo León,México
A91262,Tuxpan de Rodríguez Cano,Veracruz,México
A24496,Monclova,Coahuila,México
A44648,San Pedro Garza García,Nuevo León,México
A66854,San Pedro Garza García,Nuevo León,México
A41453,Monterrey,Nuevo León,México
A21453,Monterrey,Nuevo León,México
A59277,Monterrey,Nuevo León,México
A56882,San Nicolás de los Garza,Nuevo León,México
A18896,Guadalupe,Nuevo León,México
A61877,San Pedro Garza García,Nuevo León,México
