"","PeriodoAcad","IdAlumno","PrepaPrivada","Genero","PromedioAcum"
"181",200513,"A15441",0,"F",93.608
"182",200513,"A15443",0,"M",78.548
"183",200513,"A15460",0,"F",92.947
"184",200513,"A15461",0,"F",94
"185",200513,"A15462",0,"M",92.421
"186",200513,"A15463",0,"F",87.368
"187",200513,"A15465",0,"M",86
"188",200513,"A15466",0,"M",94.55
"189",200513,"A15469",0,"M",66
"190",200513,"A15470",0,"F",91.111
"191",200513,"A15471",0,"M",81.473
"192",200513,"A15472",0,"M",92.277
"193",200513,"A15473",0,"F",86.722
"194",200513,"A15474",0,"F",64.937
"195",200513,"A15475",0,"F",91.7
"196",200513,"A15476",0,"F",94.833
"197",200513,"A15477",0,"M",91.571
"198",200513,"A15486",0,"M",96
"199",200513,"A15487",0,"F",95
"200",200513,"A15488",0,"M",77.6
"201",200513,"A15489",0,"M",95.333
"202",200513,"A15490",0,"M",83.833
"203",200513,"A15492",0,"M",95
"204",200513,"A15493",0,"M",81.666
"205",200513,"A15494",0,"F",89.333
"206",200513,"A15516",0,"M",79.938
"207",200513,"A15551",0,"M",83.275
"208",200513,"A15576",0,"M",79.153
"209",200513,"A15596",0,"M",76.969
"210",200513,"A15603",1,"M",71.612
"211",200513,"A15614",0,"F",81.803
"212",200513,"A15619",1,"M",87.936
"213",200513,"A15621",1,"M",74.928
"214",200513,"A15622",1,"M",82.327
"215",200513,"A15624",1,"M",88.267
"216",200513,"A15625",1,"F",91.16
"217",200513,"A15626",0,"M",88.193
"218",200513,"A15627",1,"M",94.982
"219",200513,"A15628",1,"M",82.416
"220",200513,"A15629",1,"F",81.686
"221",200513,"A15630",0,"F",84.593
"222",200513,"A15631",1,"M",80.641
"223",200513,"A15632",0,"F",83.695
"224",200513,"A15634",0,"M",80.869
"225",200513,"A15635",0,"F",83.511
"226",200513,"A15636",0,"F",88.777
"227",200513,"A15637",0,"F",79.692
"228",200513,"A15638",1,"F",84.727
"229",200513,"A15639",0,"M",76.97
"230",200513,"A15640",1,"M",79.321
"231",200513,"A15641",1,"M",74.56
"232",200513,"A15642",1,"M",77.296
"233",200513,"A15643",0,"M",80.4
"234",200513,"A15644",0,"M",75.666
"235",200513,"A15646",0,"F",93.636
"236",200513,"A15647",1,"F",91
"237",200513,"A15648",0,"M",91.5
"238",200513,"A15650",0,"F",92.218
"239",200513,"A15651",1,"F",88.696
"240",200513,"A15652",1,"M",79.5
"241",200513,"A15653",1,"F",73.555
"242",200513,"A15654",0,"F",79.612
"243",200513,"A15656",1,"F",78.562
"244",200513,"A15657",1,"M",83.16
"245",200513,"A15659",1,"M",94.187
"246",200513,"A15660",1,"M",92
"247",200513,"A15661",1,"M",85.6
"248",200513,"A15662",1,"M",85.142
"249",200513,"A15663",1,"F",91.263
"250",200513,"A15666",1,"M",84.8
"251",200513,"A15667",1,"M",68.2
"252",200513,"A15668",1,"M",73.85
"253",200513,"A15669",1,"M",84.333
"254",200513,"A15670",1,"M",70.19
"255",200513,"A15671",1,"M",86.9
"256",200513,"A15672",0,"F",88.531
"257",200513,"A15674",1,"F",92.526
"258",200513,"A15675",1,"M",91.157
"259",200513,"A15676",0,"M",72.888
"260",200513,"A15677",1,"M",91.55
"261",200513,"A15678",1,"F",88.578
"262",200513,"A15682",0,"M",92.571
"263",200513,"A15686",1,"M",90.714
"264",200513,"A15688",1,"F",90
"265",200513,"A15689",0,"F",92.571
"266",200513,"A15692",1,"M",73.666
"267",200513,"A15693",0,"M",90.166
"268",200513,"A15695",1,"M",80.142
"269",200513,"A16097",1,"M",74.579
"270",200513,"A16115",1,"F",79.851
"271",200513,"A16120",1,"M",81.981
"272",200513,"A16270",1,"M",68.671
"273",200513,"A16346",1,"M",72.589
"274",200513,"A16397",1,"M",75.984
"278",200513,"A16592",1,"F",84.803
"280",200513,"A16656",1,"F",72.632
"281",200513,"A16676",1,"F",81.836
"283",200513,"A16690",1,"F",78.653
"287",200513,"A16757",1,"F",78.718
"290",200513,"A16835",1,"M",84.018
"291",200513,"A16837",1,"M",90
"292",200513,"A16838",1,"M",85.035
"293",200513,"A16842",1,"F",81.436
"295",200513,"A16855",1,"M",80.275
"296",200513,"A16860",1,"F",87.803
"298",200513,"A16865",1,"F",75.865
"301",200513,"A16898",1,"F",76.092
"302",200513,"A16903",1,"F",74.3
"303",200513,"A16913",1,"M",80.703
"304",200513,"A16914",1,"F",79.03
"305",200513,"A16916",1,"M",78.641
"306",200513,"A16917",1,"F",80.606
"307",200513,"A16956",1,"F",83.859
"308",200513,"A16958",1,"F",74.589
"310",200513,"A16982",1,"M",77.584
"311",200513,"A16983",1,"M",82.258
"312",200513,"A16986",1,"M",86.196
"313",200513,"A16991",1,"F",96.618
"314",200513,"A16993",1,"F",85.945
"315",200513,"A16995",1,"F",91.166
"316",200513,"A16996",1,"F",90.964
"317",200513,"A17019",0,"M",80.273
"318",200513,"A17034",1,"M",79.45
"319",200513,"A17035",1,"M",87.214
"320",200513,"A17037",1,"M",81.236
"321",200513,"A17038",1,"F",82.072
"322",200513,"A17039",1,"F",81.804
"323",200513,"A17041",1,"F",78.666
"324",200513,"A17050",1,"M",74.176
"325",200513,"A17051",1,"M",74.383
"326",200513,"A17052",1,"M",73.862
"327",200513,"A17053",1,"M",95.4
"328",200513,"A17054",1,"M",79.944
"329",200513,"A17055",1,"M",77.203
"330",200513,"A17057",1,"M",79.263
"331",200513,"A17058",1,"M",80.12
"332",200513,"A17059",1,"M",77.217
"333",200513,"A17060",1,"M",83.157
"334",200513,"A17061",1,"M",89.236
"335",200513,"A17062",1,"F",89.91
"336",200513,"A17064",1,"F",82.365
"337",200513,"A17066",1,"M",84.826
"338",200513,"A17076",1,"M",76.844
"339",200513,"A17077",1,"M",83.185
"340",200513,"A17079",0,"M",78.283
"341",200513,"A17081",1,"F",91.836
"342",200513,"A17082",1,"M",80.66
"343",200513,"A17083",1,"M",80.769
"344",200513,"A17084",1,"M",79.83
"345",200513,"A17086",1,"F",90.767
"346",200513,"A17087",1,"M",81.982
"347",200513,"A17088",1,"F",82.822
"348",200513,"A17089",1,"F",87.319
"349",200513,"A17091",1,"M",87.45
"350",200513,"A17092",1,"F",81.55
"351",200513,"A17093",1,"F",94.368
"352",200513,"A17094",1,"M",76.511
"353",200513,"A17095",1,"M",78.21
"354",200513,"A17096",1,"F",87.421
"355",200513,"A17098",1,"M",85.734
"356",200513,"A17099",1,"F",79.875
"357",200513,"A17102",1,"F",88.38
"358",200513,"A17109",1,"F",80.523
"359",200513,"A17110",1,"M",76.086
"360",200513,"A17112",1,"F",89.489
"361",200513,"A17116",0,"M",72.978
"362",200513,"A17117",1,"F",81.526
"363",200513,"A17118",1,"F",78
"364",200513,"A17120",1,"M",82.826
"365",200513,"A17127",1,"M",77.122
"366",200513,"A17132",0,"F",74.491
"367",200513,"A17140",0,"M",77.084
"368",200513,"A17141",0,"M",76.701
"370",200513,"A17147",0,"M",76.555
"371",200513,"A17152",0,"M",83.323
"372",200513,"A17154",0,"M",75.651
"373",200513,"A17171",0,"F",72.21
"374",200513,"A17176",1,"M",73.871
"375",200513,"A17177",1,"F",72.666
"376",200513,"A17179",0,"M",71.25
"377",200513,"A17180",0,"F",79
"378",200513,"A17184",1,"F",86.608
"379",200513,"A17185",1,"F",91.697
"380",200513,"A17186",1,"F",85.272
"381",200513,"A17187",1,"F",77.9
"382",200513,"A17188",1,"F",81.886
"383",200513,"A17189",1,"M",77.355
"384",200513,"A17190",1,"M",77.439
"385",200513,"A17192",1,"M",86.916
"386",200513,"A17193",1,"F",88.697
"387",200513,"A17194",1,"F",90.888
"388",200513,"A17195",1,"F",91.954
"389",200513,"A17196",1,"F",93.159
"390",200513,"A17197",1,"M",89.977
"391",200513,"A17198",1,"F",89.391
"392",200513,"A17199",1,"F",90.179
"393",200513,"A17200",1,"M",86.348
"394",200513,"A17201",1,"M",86.358
"395",200513,"A17202",1,"M",89.6
"396",200513,"A17203",1,"M",90.491
"397",200513,"A17204",1,"M",88.078
"398",200513,"A17205",1,"M",84.906
"399",200513,"A17206",1,"F",82.847
"400",200513,"A17207",1,"M",86.476
"401",200513,"A17208",1,"M",75.642
"402",200513,"A17210",0,"F",78.028
"403",200513,"A17212",1,"F",85.657
"404",200513,"A17213",1,"F",84.375
"405",200513,"A17214",1,"M",82.79
"406",200513,"A17215",1,"M",80.382
"407",200513,"A17216",0,"M",80.037
"408",200513,"A17217",1,"M",73.575
"409",200513,"A17218",1,"M",83.148
"410",200513,"A17219",1,"M",82.5
"411",200513,"A17221",1,"F",91.194
"412",200513,"A17223",1,"M",82.547
"413",200513,"A17224",1,"M",65.611
"414",200513,"A17226",1,"F",94.162
"416",200513,"A17230",1,"F",91.903
"417",200513,"A17231",1,"F",89.677
"418",200513,"A17232",1,"F",80.488
"419",200513,"A17236",1,"F",88.171
"420",200513,"A17241",1,"F",88.725
"421",200513,"A17243",0,"M",74.947
"422",200513,"A17244",1,"M",76.466
"423",200513,"A17245",1,"M",80.209
"424",200513,"A17246",1,"M",82.142
"425",200513,"A17247",1,"M",86
"427",200513,"A17249",1,"M",85.52
"428",200513,"A17250",1,"M",79.733
"429",200513,"A17251",1,"M",90.395
"430",200513,"A17253",0,"M",71.243
"431",200513,"A17258",1,"F",89.674
"432",200513,"A17264",0,"M",77.461
"436",200513,"A17285",0,"M",74.378
"437",200513,"A17287",1,"F",82.976
"438",200513,"A17289",0,"M",74.135
"439",200513,"A17294",0,"F",77.932
"440",200513,"A17296",0,"M",77.041
"441",200513,"A17297",0,"M",77.935
"442",200513,"A17299",0,"M",73.67
"443",200513,"A17300",0,"M",71.8
"445",200513,"A17302",0,"M",83.87
"446",200513,"A17305",0,"F",81.283
"447",200513,"A17307",0,"F",89.767
"448",200513,"A17308",0,"M",76.171
"449",200513,"A17311",0,"M",75.09
"450",200513,"A17313",0,"M",90.557
"452",200513,"A17318",1,"M",75.937
"453",200513,"A17319",1,"F",89
"454",200513,"A17323",0,"M",76.394
"455",200513,"A17325",0,"F",80.85
"456",200513,"A17327",0,"M",88.5
"457",200513,"A17328",1,"M",88.181
"458",200513,"A17329",1,"M",85
"459",200513,"A17330",1,"M",87.878
"460",200513,"A17331",1,"M",83.633
"461",200513,"A17333",1,"M",72.612
"462",200513,"A17334",1,"F",84.428
"463",200513,"A17335",1,"M",84.58
"464",200513,"A17337",1,"M",82.708
"465",200513,"A17338",1,"F",86.578
"466",200513,"A17339",1,"M",85.354
"467",200513,"A17340",1,"F",90.035
"468",200513,"A17341",1,"F",86.741
"469",200513,"A17343",1,"F",90.351
"470",200513,"A17345",1,"F",91.424
"471",200513,"A17346",0,"M",79.173
"472",200513,"A17348",1,"F",79.629
"473",200513,"A17349",1,"M",90.444
"474",200513,"A17350",1,"F",86.35
"475",200513,"A17351",1,"F",91.285
"476",200513,"A17352",1,"F",85.617
"477",200513,"A17354",1,"M",84.322
"478",200513,"A17355",1,"F",74.478
"479",200513,"A17356",1,"F",89.939
"480",200513,"A17357",1,"F",84.428
"481",200513,"A17358",1,"M",86.769
"482",200513,"A17359",1,"M",80.193
"483",200513,"A17360",1,"F",85
"484",200513,"A17362",0,"M",61.666
"485",200513,"A17367",1,"F",93.093
"486",200513,"A17369",1,"F",82.555
"487",200513,"A17370",1,"M",75.857
"488",200513,"A17371",1,"F",92.741
"489",200513,"A17372",1,"M",82.062
"490",200513,"A17373",1,"M",76.733
"491",200513,"A17375",1,"F",83.939
"492",200513,"A17378",1,"M",47.461
"493",200513,"A17379",1,"M",84.666
"494",200513,"A17380",1,"M",77.437
"495",200513,"A17381",1,"F",82.593
"496",200513,"A17382",1,"F",91.275
"497",200513,"A17383",1,"F",87.441
"498",200513,"A17384",1,"M",69.967
"499",200513,"A17386",0,"M",81.606
"500",200513,"A17388",1,"M",78.557
"501",200513,"A17389",0,"F",83.433
"502",200513,"A17393",1,"F",82.333
"503",200513,"A17395",1,"M",77.05
"504",200513,"A17396",0,"M",79.37
"505",200513,"A17400",1,"M",73.384
"506",200513,"A17401",1,"M",73.3
"507",200513,"A17402",1,"F",80.8
"509",200513,"A17404",0,"M",85.098
"510",200513,"A17406",0,"F",78.646
"511",200513,"A17407",0,"M",74.111
"512",200513,"A17408",0,"F",83.283
"513",200513,"A17409",0,"F",88.877
"514",200513,"A17410",0,"M",79.257
"515",200513,"A17412",1,"M",78.96
"516",200513,"A17414",1,"M",83.612
"517",200513,"A17418",0,"M",79.22
"518",200513,"A17419",0,"M",78.034
"519",200513,"A17420",0,"M",85.261
"520",200513,"A17421",0,"F",81.14
"521",200513,"A17423",0,"F",83.411
"522",200513,"A17424",0,"M",75.028
"523",200513,"A17425",0,"M",73.298
"524",200513,"A17426",0,"M",77.827
"525",200513,"A17427",0,"M",79.438
"526",200513,"A17432",1,"F",92.285
"527",200513,"A17434",1,"M",76.916
"528",200513,"A17435",1,"M",86.32
"529",200513,"A17436",0,"M",76.873
"531",200513,"A17438",0,"M",74.312
"532",200513,"A17440",0,"M",75.288
"533",200513,"A17441",1,"M",80.388
"534",200513,"A17443",0,"M",81.328
"535",200513,"A17444",0,"F",86.838
"536",200513,"A17445",0,"F",89.264
"537",200513,"A17446",0,"F",85.381
"540",200513,"A17450",1,"F",84.031
"541",200513,"A17451",1,"F",92.285
"542",200513,"A17452",0,"M",90.446
"543",200513,"A17453",1,"F",88
"544",200513,"A17457",1,"F",86.2
"545",200513,"A17458",1,"M",89.263
"546",200513,"A17460",0,"M",90.125
"547",200513,"A17461",1,"F",82.066
"548",200513,"A17462",1,"F",78.95
"549",200513,"A17463",1,"M",86.619
"550",200513,"A17465",1,"M",74
"551",200513,"A17467",1,"M",87.761
"552",200513,"A17468",1,"F",77.285
"553",200513,"A17469",1,"M",82.1
"554",200513,"A17470",1,"M",76.105
"555",200513,"A17471",1,"M",75.111
"556",200513,"A17472",1,"F",87.35
"557",200513,"A17473",1,"F",78.55
"558",200513,"A17474",0,"M",86.648
"559",200513,"A17475",1,"M",75.5
"560",200513,"A17476",1,"M",73.7
"561",200513,"A17477",1,"M",79.75
"562",200513,"A17478",1,"F",86.23
"563",200513,"A17479",1,"M",83.05
"564",200513,"A17480",1,"M",95.842
"565",200513,"A17481",1,"F",95.263
"566",200513,"A17482",1,"F",76.5
"567",200513,"A17483",0,"M",79.666
"568",200513,"A17484",1,"F",86.368
"569",200513,"A17485",1,"F",78.941
"570",200513,"A17486",1,"M",74.428
"571",200513,"A17487",1,"F",89.285
"572",200513,"A17488",1,"M",90.941
"573",200513,"A17489",1,"F",74.615
"574",200513,"A17491",1,"M",77
"575",200513,"A17492",1,"M",82.357
"576",200513,"A17493",0,"M",74.8
"577",200513,"A17494",1,"M",83.888
"578",200513,"A17496",1,"M",75.526
"579",200513,"A17499",0,"F",84.448
"580",200513,"A17500",1,"F",88.619
"581",200513,"A17502",1,"M",78.684
"582",200513,"A17503",1,"F",88
"583",200513,"A17504",1,"M",72.3
"584",200513,"A17505",1,"M",76.619
"585",200513,"A17506",1,"M",75.888
"586",200513,"A17507",1,"M",78.894
"587",200513,"A17508",1,"M",76.684
"588",200513,"A17509",1,"M",77.25
"589",200513,"A17512",1,"M",81.263
"590",200513,"A17513",1,"M",79.368
"591",200513,"A17514",1,"F",85.263
"592",200513,"A17517",1,"F",78.857
"593",200513,"A17518",1,"M",91.153
"594",200513,"A17519",1,"M",66.333
"595",200513,"A17520",0,"F",84.576
"596",200513,"A17521",1,"M",86.058
"597",200513,"A17522",1,"F",81.75
"598",200513,"A17523",0,"F",88.51
"599",200513,"A17524",1,"F",79.153
"600",200513,"A17525",0,"M",73.176
"602",200513,"A17528",0,"M",84.435
"603",200513,"A17529",0,"M",86.192
"604",200513,"A17530",1,"F",10
"605",200513,"A17531",0,"F",91.701
"606",200513,"A17532",0,"F",93.563
"607",200513,"A17533",0,"M",79.472
"608",200513,"A17534",1,"M",78.75
"609",200513,"A17535",0,"F",84.627
"610",200513,"A17536",0,"F",92.627
"611",200513,"A17537",0,"M",78.912
"612",200513,"A17538",0,"M",76.529
"614",200513,"A17541",0,"F",84.9
"615",200513,"A17542",0,"M",96.711
"616",200513,"A17543",0,"M",75.728
"617",200513,"A17545",0,"M",83.962
"618",200513,"A17546",0,"F",88.109
"619",200513,"A17549",0,"F",84.95
"620",200513,"A17551",0,"F",84.016
"621",200513,"A17552",0,"F",91.157
"622",200513,"A17553",0,"F",82.203
"623",200513,"A17554",0,"M",73.938
"624",200513,"A17555",0,"F",92.714
"625",200513,"A17556",0,"F",90.762
"626",200513,"A17557",0,"F",78.114
"627",200513,"A17558",0,"M",80.126
"628",200513,"A17559",0,"M",92.644
"629",200513,"A17560",0,"F",82.448
"630",200513,"A17561",0,"F",75.687
"631",200513,"A17562",0,"M",76.411
"632",200513,"A17563",0,"M",74.673
"633",200513,"A17565",0,"F",77.34
"634",200513,"A17566",0,"F",70.96
"635",200513,"A17568",1,"M",69.416
"637",200513,"A17571",0,"M",80.038
"638",200513,"A17573",0,"M",68.789
"639",200513,"A17575",0,"M",78.959
"640",200513,"A17577",1,"M",85.428
"642",200513,"A17580",0,"M",79.428
"643",200513,"A17581",1,"M",76.857
"644",200513,"A17584",1,"F",88.285
"645",200513,"A17585",1,"F",73.142
"646",200513,"A17586",1,"F",85.428
"647",200513,"A17588",0,"M",80.76
"649",200513,"A17591",1,"F",77.571
"650",200513,"A17592",1,"M",97.428
"651",200513,"A17593",1,"F",88
"652",200513,"A17594",1,"M",87.666
"653",200513,"A17596",1,"F",84.428
"654",200513,"A17597",1,"F",91.714
"655",200513,"A17598",1,"F",75.571
"656",200513,"A17599",1,"F",89.571
"657",200513,"A17600",1,"F",75.714
"658",200513,"A17602",1,"M",92.285
"659",200513,"A17603",1,"F",92.285
"660",200513,"A17604",1,"F",91.142
"661",200513,"A17605",1,"F",86.142
"662",200513,"A17606",1,"M",86.428
"663",200513,"A17607",0,"M",69.6
"664",200513,"A17608",1,"M",80.142
"665",200513,"A17609",1,"M",64.857
"666",200513,"A17611",1,"M",75.285
"667",200513,"A17612",1,"M",80.666
"668",200513,"A17614",1,"M",86.714
"669",200513,"A17618",1,"F",84.571
"670",200513,"A17620",1,"M",79.714
"671",200513,"A17622",1,"F",80.714
"672",200513,"A17623",1,"M",88.571
"673",200513,"A17624",0,"M",77.704
"674",200513,"A17625",1,"M",67.6
"675",200513,"A17627",0,"F",85.395
"676",200513,"A17629",1,"M",68.666
"677",200513,"A17630",1,"F",80.5
"678",200513,"A17632",1,"M",74.285
"679",200513,"A17634",1,"M",86.428
"680",200513,"A17635",0,"M",78.818
"681",200513,"A17636",0,"M",80.17
"682",200513,"A17637",0,"M",79.023
"683",200513,"A17638",1,"M",81.142
"684",200513,"A17639",0,"M",87.844
"685",200513,"A17640",1,"M",76.85
"686",200513,"A17641",0,"M",76.763
"687",200513,"A17642",1,"M",92.714
"688",200513,"A17643",0,"M",80.611
"689",200513,"A17645",0,"M",76.093
"690",200513,"A17646",0,"M",84.022
"692",200513,"A17649",0,"F",84.558
"693",200513,"A17650",0,"F",92.523
"694",200513,"A17651",0,"M",76.341
"695",200513,"A17652",1,"M",78.142
"696",200513,"A17653",0,"F",77.184
"697",200513,"A17654",0,"M",79.027
"698",200513,"A17655",0,"M",78.307
"699",200513,"A17656",0,"M",77.704
"700",200513,"A17658",1,"F",74.571
"701",200513,"A17659",0,"M",76.35
"702",200513,"A17660",0,"F",95.146
"703",200513,"A17662",0,"F",80.78
"704",200513,"A17665",0,"M",73.568
"706",200513,"A17667",1,"F",87.444
"707",200513,"A17668",0,"M",76.452
"708",200513,"A17669",0,"M",74.902
"709",200513,"A17671",0,"M",75.833
"710",200513,"A17672",0,"M",85.55
"711",200513,"A17674",1,"M",79.882
"712",200513,"A17675",0,"F",85.272
"713",200513,"A17677",0,"M",72.64
"714",200513,"A17685",0,"M",86.741
"715",200513,"A17686",0,"M",90.5
"716",200513,"A17687",0,"M",78.161
"717",200513,"A17689",0,"F",88.05
"718",200513,"A18004",1,"M",80.855
"719",200513,"A18041",1,"M",70.37
"721",200513,"A18045",1,"M",70.291
"723",200513,"A18120",1,"M",69.867
"724",200513,"A18123",1,"M",74.954
"725",200513,"A18135",0,"M",83.465
"726",200513,"A18168",1,"M",94.947
"727",200513,"A18180",1,"M",81.102
"728",200513,"A18181",1,"F",82.885
"729",200513,"A18184",1,"F",89.469
"730",200513,"A18192",1,"M",74.224
"731",200513,"A18193",1,"M",79.303
"732",200513,"A18194",1,"M",80.537
"733",200513,"A18195",1,"F",82.886
"734",200513,"A18202",0,"F",94
"735",200513,"A18203",1,"M",78.042
"736",200513,"A18204",1,"M",81.859
"737",200513,"A18208",1,"M",84.075
"738",200513,"A18215",1,"M",78.225
"739",200513,"A18222",1,"M",74.926
"740",200513,"A18225",0,"M",71.954
"741",200513,"A18228",0,"M",88.135
"742",200513,"A18244",0,"M",70.257
"743",200513,"A18249",0,"M",73.363
"744",200513,"A18255",1,"M",74.037
"745",200513,"A18257",1,"M",76.603
"746",200513,"A18259",1,"F",72.973
"747",200513,"A18260",1,"F",85.214
"748",200513,"A18261",1,"F",83.418
"749",200513,"A18262",1,"M",86.62
"750",200513,"A18263",1,"M",84.828
"751",200513,"A18264",1,"F",90.842
"752",200513,"A18266",1,"F",84.084
"753",200513,"A18267",1,"M",78.17
"754",200513,"A18268",1,"F",79.8
"755",200513,"A18269",1,"F",75.8
"756",200513,"A18270",1,"M",90.45
"757",200513,"A18272",0,"M",71.015
"758",200513,"A18273",1,"M",82.278
"759",200513,"A18274",1,"M",77.089
"760",200513,"A18276",1,"F",84.741
"761",200513,"A18277",1,"F",88.796
"762",200513,"A18280",1,"F",77.226
"763",200513,"A18281",1,"M",75.74
"764",200513,"A18282",1,"M",84.508
